timestamp,종가,시가,고가,저가,거래량,변동 %,close,open,high,low,volume,change,Exchange Rate,foreign_price_krw
2024-11-21,"98,348.0","94,243.0","98,700.0","93,996.0",2.83K,4.36%,98348.0,94243.0,98700.0,93996.0,2830.0,4.36,1391.6,136861076.79999998
2024-11-20,"94,243.0","92,172.0","94,652.0","91,404.0",1.49K,2.25%,94243.0,92172.0,94652.0,91404.0,1490.0,2.25,1392.0,131186256.0
2024-11-19,"92,172.0","90,535.0","93,751.0","90,430.0",2.04K,1.81%,92172.0,90535.0,93751.0,90430.0,2040.0,1.81,1392.6,128358727.19999999
2024-11-18,"90,535.0","89,843.0","92,533.0","89,500.0",1.64K,0.77%,90535.0,89843.0,92533.0,89500.0,1640.0,0.77,1402.8,127002498.0
2024-11-17,"89,843.0","90,538.0","91,423.0","88,758.0",0.89K,-0.77%,89843.0,90538.0,91423.0,88758.0,890.0,-0.77,1406.4,126355195.2
2024-11-16,"90,538.0","91,015.0","91,743.0","90,088.0",0.75K,-0.52%,90538.0,91015.0,91743.0,90088.0,750.0,-0.52,1406.4,127332643.2
2024-11-15,"91,015.0","87,305.0","91,854.0","87,120.0",1.20K,4.25%,91015.0,87305.0,91854.0,87120.0,1200.0,4.25,1406.4,128003496.00000001
2024-11-14,"87,305.0","90,453.0","91,776.0","86,693.0",1.59K,-3.48%,87305.0,90453.0,91776.0,86693.0,1590.0,-3.48,1407.3,122864326.5
2024-11-13,"90,453.0","88,007.0","93,286.0","86,152.0",2.72K,2.78%,90453.0,88007.0,93286.0,86152.0,2720.0,2.78,1401.1,126733698.3
2024-11-12,"88,007.0","88,566.0","89,933.0","85,128.0",2.92K,-0.63%,88007.0,88566.0,89933.0,85128.0,2920.0,-0.63,1395.3,122796167.1
2024-11-11,"88,566.0","80,367.0","89,528.0","80,244.0",3.62K,10.20%,88566.0,80367.0,89528.0,80244.0,3620.0,10.2,1385.4,122699336.4
2024-11-10,"80,367.0","76,703.0","81,428.0","76,531.0",4.08K,4.78%,80367.0,76703.0,81428.0,76531.0,4080.0,4.78,1399.1,112441469.69999999
2024-11-09,"76,703.0","76,496.0","76,888.0","75,746.0",0.31K,0.27%,76703.0,76496.0,76888.0,75746.0,310.0,0.27,1399.1,107315167.3
2024-11-08,"76,496.0","75,864.0","77,049.0","75,611.0",0.80K,0.83%,76496.0,75864.0,77049.0,75611.0,800.0,0.83,1399.1,107025553.6
2024-11-07,"75,864.0","75,580.0","76,655.0","74,397.0",1.43K,0.38%,75864.0,75580.0,76655.0,74397.0,1430.0,0.38,1391.5,105564756.0
2024-11-06,"75,580.0","69,450.0","76,179.0","69,401.0",4.90K,8.83%,75580.0,69450.0,76179.0,69401.0,4900.0,8.83,1377.8,104134124.0
2024-11-05,"69,450.0","67,858.0","70,598.0","67,541.0",0.78K,2.35%,69450.0,67858.0,70598.0,67541.0,780.0,2.35,1371.3,95236785.0
2024-11-04,"67,858.0","68,807.0","69,505.0","66,881.0",0.63K,-1.38%,67858.0,68807.0,69505.0,66881.0,630.0,-1.38,1377.9,93501538.2
2024-11-03,"68,807.0","69,292.0","69,405.0","67,532.0",1.04K,-0.70%,68807.0,69292.0,69405.0,67532.0,1040.0,-0.7,1379.3,94905495.1
2024-11-02,"69,292.0","69,590.0","69,939.0","69,028.0",0.37K,-0.43%,69292.0,69590.0,69939.0,69028.0,370.0,-0.43,1379.3,95574455.6
2024-11-01,"69,590.0","70,299.0","71,637.0","68,889.0",0.92K,-1.01%,69590.0,70299.0,71637.0,68889.0,920.0,-1.01,1379.3,95985487.0
2024-10-31,"70,299.0","72,455.0","72,664.0","69,674.0",0.40K,-2.98%,70299.0,72455.0,72664.0,69674.0,400.0,-2.98,1383.3,97244606.7
2024-10-30,"72,455.0","72,688.0","73,014.0","71,510.0",0.44K,-0.32%,72455.0,72688.0,73014.0,71510.0,440.0,-0.32,1383.1,100212510.5
2024-10-29,"72,688.0","69,989.0","73,525.0","69,812.0",2.65K,3.86%,72688.0,69989.0,73525.0,69812.0,2650.0,3.86,1387.0,100818256.0
2024-10-28,"69,989.0","68,035.0","70,287.0","67,660.0",0.73K,2.87%,69989.0,68035.0,70287.0,67660.0,730.0,2.87,1384.4,96892771.60000001
2024-10-27,"68,035.0","67,081.0","68,328.0","66,926.0",0.22K,1.42%,68035.0,67081.0,68328.0,66926.0,220.0,1.42,1380.5,93922317.5
2024-10-26,"67,081.0","66,734.0","67,445.0","66,456.0",0.13K,0.52%,67081.0,66734.0,67445.0,66456.0,130.0,0.52,1380.5,92605320.5
2024-10-25,"66,734.0","68,188.0","68,750.0","65,629.0",0.52K,-2.13%,66734.0,68188.0,68750.0,65629.0,520.0,-2.13,1380.5,92126287.0
2024-10-24,"68,188.0","66,695.0","68,846.0","66,527.0",0.45K,2.24%,68188.0,66695.0,68846.0,66527.0,450.0,2.24,1382.0,94235816.0
2024-10-23,"66,695.0","67,405.0","67,436.0","65,265.0",0.45K,-1.05%,66695.0,67405.0,67436.0,65265.0,450.0,-1.05,1380.1,92045769.5
2024-10-22,"67,405.0","67,425.0","67,824.0","66,648.0",0.40K,-0.03%,67405.0,67425.0,67824.0,66648.0,400.0,-0.03,1370.4,92371812.0
2024-10-21,"67,425.0","69,045.0","69,554.0","66,942.0",0.58K,-2.35%,67425.0,69045.0,69554.0,66942.0,580.0,-2.35,1371.1,92446417.5
2024-10-20,"69,045.0","68,360.0","69,375.0","68,116.0",0.31K,1.00%,69045.0,68360.0,69375.0,68116.0,310.0,1.0,1366.5,94349992.5
2024-10-19,"68,360.0","68,368.0","68,641.0","68,035.0",0.18K,-0.01%,68360.0,68368.0,68641.0,68035.0,180.0,-0.01,1366.5,93413940.0
2024-10-18,"68,368.0","67,453.0","68,886.0","67,240.0",0.90K,1.36%,68368.0,67453.0,68886.0,67240.0,900.0,1.36,1366.5,93424872.0
2024-10-17,"67,453.0","67,657.0","67,962.0","66,724.0",0.38K,-0.30%,67453.0,67657.0,67962.0,66724.0,380.0,-0.3,1363.7,91985656.10000001
2024-10-16,"67,657.0","67,123.0","68,367.0","66,861.0",1.16K,0.80%,67657.0,67123.0,68367.0,66861.0,1160.0,0.8,1360.4,92040582.80000001
2024-10-15,"67,123.0","66,179.0","67,806.0","64,857.0",1.40K,1.43%,67123.0,66179.0,67806.0,64857.0,1400.0,1.43,1354.9,90944952.7
2024-10-14,"66,179.0","62,986.0","66,555.0","62,601.0",0.81K,5.07%,66179.0,62986.0,66555.0,62601.0,810.0,5.07,1348.6,89248999.39999999
2024-10-13,"62,986.0","63,335.0","63,406.0","62,204.0",0.59K,-0.55%,62986.0,63335.0,63406.0,62204.0,590.0,-0.55,1349.4,84993308.4
2024-10-12,"63,335.0","62,581.0","63,590.0","62,570.0",0.29K,1.20%,63335.0,62581.0,63590.0,62570.0,290.0,1.2,1349.4,85464249.0
2024-10-11,"62,581.0","60,337.0","63,455.0","60,104.0",0.42K,3.72%,62581.0,60337.0,63455.0,60104.0,420.0,3.72,1349.4,84446801.4
2024-10-10,"60,337.0","60,650.0","61,364.0","58,944.0",0.66K,-0.52%,60337.0,60650.0,61364.0,58944.0,660.0,-0.52,1347.8,81322208.6
2024-10-09,"60,650.0","62,231.0","62,586.0","60,371.0",0.46K,-2.54%,60650.0,62231.0,62586.0,60371.0,460.0,-2.54,1346.5,81665225.0
2024-10-08,"62,231.0","62,269.0","63,248.0","61,941.0",0.43K,-0.06%,62231.0,62269.0,63248.0,61941.0,430.0,-0.06,1346.5,83794041.5
2024-10-07,"62,269.0","62,894.0","64,514.0","62,202.0",0.61K,-0.99%,62269.0,62894.0,64514.0,62202.0,610.0,-0.99,1333.3,83023257.7
2024-10-06,"62,894.0","62,138.0","63,016.0","61,862.0",0.23K,1.22%,62894.0,62138.0,63016.0,61862.0,230.0,1.22,1320.1,83026369.39999999
2024-10-05,"62,138.0","62,191.0","62,437.0","61,767.0",0.25K,-0.09%,62138.0,62191.0,62437.0,61767.0,250.0,-0.09,1320.1,82028373.8
2024-10-04,"62,191.0","60,892.0","62,575.0","60,602.0",0.43K,2.13%,62191.0,60892.0,62575.0,60602.0,430.0,2.13,1320.1,82098339.1
2024-10-03,"60,892.0","60,785.0","61,600.0","60,009.0",0.38K,0.18%,60892.0,60785.0,61600.0,60009.0,380.0,0.18,1306.9,79579754.80000001
2024-10-02,"60,785.0","60,981.0","62,455.0","60,139.0",0.74K,-0.32%,60785.0,60981.0,62455.0,60139.0,740.0,-0.32,1306.9,79439916.5
2024-10-01,"60,981.0","63,468.0","64,217.0","60,329.0",0.89K,-3.92%,60981.0,63468.0,64217.0,60329.0,890.0,-3.92,1319.6,80470527.6
2024-09-30,"63,468.0","65,762.0","65,762.0","63,006.0",1.04K,-3.49%,63468.0,65762.0,65762.0,63006.0,1040.0,-3.49,1319.6,83752372.8
2024-09-29,"65,762.0","66,015.0","66,193.0","65,574.0",0.09K,-0.38%,65762.0,66015.0,66193.0,65574.0,90.0,-0.38,1329.7,87443731.4
2024-09-28,"66,015.0","65,928.0","66,410.0","65,568.0",0.11K,0.13%,66015.0,65928.0,66410.0,65568.0,110.0,0.13,1329.7,87780145.5
2024-09-27,"65,928.0","65,307.0","66,548.0","64,987.0",0.67K,0.95%,65928.0,65307.0,66548.0,64987.0,670.0,0.95,1329.7,87664461.60000001
2024-09-26,"65,307.0","63,264.0","65,856.0","62,805.0",0.86K,3.23%,65307.0,63264.0,65856.0,62805.0,860.0,3.23,1328.4,86753818.80000001
2024-09-25,"63,264.0","64,381.0","64,888.0","63,082.0",0.40K,-1.73%,63264.0,64381.0,64888.0,63082.0,400.0,-1.73,1334.3,84413155.2
2024-09-24,"64,381.0","63,456.0","64,775.0","62,850.0",0.53K,1.46%,64381.0,63456.0,64775.0,62850.0,530.0,1.46,1335.5,85980825.5
2024-09-23,"63,456.0","63,663.0","64,830.0","62,701.0",0.72K,-0.33%,63456.0,63663.0,64830.0,62701.0,720.0,-0.33,1329.9,84390134.4
2024-09-22,"63,663.0","63,416.0","64,093.0","62,485.0",0.63K,0.39%,63663.0,63416.0,64093.0,62485.0,630.0,0.39,1331.8,84786383.39999999
2024-09-21,"63,416.0","63,205.0","63,570.0","62,805.0",0.21K,0.33%,63416.0,63205.0,63570.0,62805.0,210.0,0.33,1331.8,84457428.8
2024-09-20,"63,205.0","63,032.0","64,200.0","62,435.0",0.49K,0.27%,63205.0,63032.0,64200.0,62435.0,490.0,0.27,1331.8,84176419.0
2024-09-19,"63,032.0","61,841.0","63,948.0","61,714.0",0.80K,1.93%,63032.0,61841.0,63948.0,61714.0,800.0,1.93,1331.0,83895592.0
2024-09-18,"61,841.0","60,435.0","61,869.0","59,293.0",1.00K,2.33%,61841.0,60435.0,61869.0,59293.0,1000.0,2.33,1339.6,82842203.6
2024-09-17,"60,435.0","58,342.0","61,337.0","57,773.0",1.10K,3.59%,60435.0,58342.0,61337.0,57773.0,1100.0,3.59,1339.6,80958726.0
2024-09-16,"58,342.0","59,296.0","59,336.0","57,653.0",0.62K,-1.61%,58342.0,59296.0,59336.0,57653.0,620.0,-1.61,1339.6,78154943.19999999
2024-09-15,"59,296.0","60,139.0","60,525.0","58,868.0",0.83K,-1.40%,59296.0,60139.0,60525.0,58868.0,830.0,-1.4,1339.6,79432921.6
2024-09-14,"60,139.0","60,645.0","60,713.0","59,666.0",0.33K,-0.83%,60139.0,60645.0,60713.0,59666.0,330.0,-0.83,1339.6,80562204.39999999
2024-09-13,"60,645.0","58,287.0","60,730.0","57,762.0",1.16K,4.05%,60645.0,58287.0,60730.0,57762.0,1160.0,4.05,1339.6,81240042.0
2024-09-12,"58,287.0","57,451.0","58,643.0","57,449.0",0.80K,1.46%,58287.0,57451.0,58643.0,57449.0,800.0,1.46,1340.3,78122066.1
2024-09-11,"57,451.0","57,758.0","58,104.0","55,743.0",1.19K,-0.53%,57451.0,57758.0,58104.0,55743.0,1190.0,-0.53,1344.3,77231379.3
2024-09-10,"57,758.0","57,110.0","58,135.0","56,489.0",0.27K,1.13%,57758.0,57110.0,58135.0,56489.0,270.0,1.13,1339.5,77366841.0
2024-09-09,"57,110.0","55,016.0","58,062.0","54,752.0",1.94K,3.81%,57110.0,55016.0,58062.0,54752.0,1940.0,3.81,1330.4,75979144.0
2024-09-08,"55,016.0","54,309.0","55,447.0","53,764.0",1.06K,1.30%,55016.0,54309.0,55447.0,53764.0,1060.0,1.3,1335.8,73490372.8
2024-09-07,"54,309.0","54,133.0","55,027.0","53,931.0",1.30K,0.33%,54309.0,54133.0,55027.0,53931.0,1300.0,0.33,1335.8,72545962.2
2024-09-06,"54,133.0","56,318.0","57,102.0","52,756.0",2.37K,-3.88%,54133.0,56318.0,57102.0,52756.0,2370.0,-3.88,1335.8,72310861.39999999
2024-09-05,"56,318.0","58,116.0","58,451.0","55,868.0",2.08K,-3.09%,56318.0,58116.0,58451.0,55868.0,2080.0,-3.09,1342.0,75578756.0
2024-09-04,"58,116.0","57,680.0","58,630.0","56,069.0",2.15K,0.76%,58116.0,57680.0,58630.0,56069.0,2150.0,0.76,1341.0,77933556.0
2024-09-03,"57,680.0","59,308.0","59,976.0","57,610.0",0.97K,-2.74%,57680.0,59308.0,59976.0,57610.0,970.0,-2.74,1338.8,77221984.0
2024-09-02,"59,308.0","57,454.0","59,585.0","57,320.0",0.89K,3.23%,59308.0,57454.0,59585.0,57320.0,890.0,3.23,1334.8,79164318.39999999
2024-09-01,"57,454.0","59,155.0","59,236.0","57,333.0",1.25K,-2.88%,57454.0,59155.0,59236.0,57333.0,1250.0,-2.88,1335.3,76718326.2
2024-08-31,"59,155.0","59,300.0","59,622.0","58,950.0",0.81K,-0.24%,59155.0,59300.0,59622.0,58950.0,810.0,-0.24,1335.3,78989671.5
2024-08-30,"59,300.0","59,542.0","59,999.0","58,000.0",1.90K,-0.41%,59300.0,59542.0,59999.0,58000.0,1900.0,-0.41,1335.3,79183290.0
2024-08-29,"59,542.0","59,145.0","61,290.0","58,902.0",1.00K,0.67%,59542.0,59145.0,61290.0,58902.0,1000.0,0.67,1334.7,79470707.4
2024-08-28,"59,145.0","59,570.0","60,325.0","58,085.0",0.78K,-0.71%,59145.0,59570.0,60325.0,58085.0,780.0,-0.71,1330.4,78686508.0
2024-08-27,"59,570.0","62,974.0","63,306.0","58,200.0",1.16K,-5.41%,59570.0,62974.0,63306.0,58200.0,1160.0,-5.41,1323.9,78864723.0
2024-08-26,"62,974.0","64,361.0","64,578.0","62,934.0",0.39K,-2.16%,62974.0,64361.0,64578.0,62934.0,390.0,-2.16,1340.1,84391457.39999999
2024-08-25,"64,361.0","64,230.0","65,092.0","63,912.0",0.24K,0.20%,64361.0,64230.0,65092.0,63912.0,240.0,0.2,1335.9,85979859.9
2024-08-24,"64,230.0","64,151.0","64,604.0","63,689.0",0.26K,0.12%,64230.0,64151.0,64604.0,63689.0,260.0,0.12,1335.9,85804857.0
2024-08-23,"64,151.0","60,483.0","64,953.0","60,470.0",0.75K,6.06%,64151.0,60483.0,64953.0,60470.0,750.0,6.06,1335.9,85699320.9
2024-08-22,"60,483.0","61,252.0","61,460.0","59,863.0",0.35K,-1.26%,60483.0,61252.0,61460.0,59863.0,350.0,-1.26,1332.4,80587549.2
2024-08-21,"61,252.0","59,172.0","61,898.0","58,958.0",0.98K,3.52%,61252.0,59172.0,61898.0,58958.0,980.0,3.52,1332.0,81587664.0
2024-08-20,"59,172.0","59,609.0","61,472.0","58,763.0",1.10K,-0.73%,59172.0,59609.0,61472.0,58763.0,1100.0,-0.73,1337.8,79160301.6
