timestamp,Exchange Rate,close,open,high,low,volume,change,비트코인,업비트,bitcoin,coinbase
2017-01-01,1208.5,1207291.5,1168136.1,1216355.25,1161731.05,13440.0,3.35,0,0,42,3
2017-01-02,1208.5,1231824.05,1207533.2,1250555.8,1205237.05,21820.0,2.03,39,0,75,4
2017-01-03,1207.8,1253092.5,1231110.5399999998,1254541.86,1224105.3,14110.0,1.79,66,0,71,4
2017-01-04,1206.2,1374585.52,1251432.5,1387130.0,1250105.6800000002,53730.0,9.84,50,0,83,5
2017-01-05,1206.7,1210561.4400000002,1375396.66,1407012.2,1044278.18,91200.0,-11.97,100,0,100,5
2017-01-06,1191.6,1070056.7999999998,1196128.0799999998,1221390.0,1037883.6,57400.0,-10.49,86,0,85,5
2017-01-07,1191.6,1082926.0799999998,1070652.5999999999,1085547.5999999999,972464.76,40600.0,1.21,49,0,72,3
2017-01-08,1191.6,1091386.44,1082926.0799999998,1123083.0,1060524.0,30750.0,0.78,57,0,63,3
2017-01-09,1189.1,1073757.2999999998,1089096.69,1089334.51,1042008.3299999998,16590.0,-1.41,35,0,61,3
2017-01-10,1205.5,1091941.9,1088566.5,1106528.45,1079525.25,12140.0,0.31,43,0,57,3
2017-01-11,1198.7,933307.8200000001,1085782.46,1105920.62,911012.0,62870.0,-14.04,59,0,62,3
2017-01-12,1196.4,962623.4400000001,932593.8,994447.6800000002,883780.6800000002,35910.0,3.34,43,0,68,3
2017-01-13,1182.8,979476.6799999999,951680.88,984444.44,917852.7999999999,25880.0,2.93,34,0,53,3
2017-01-14,1182.8,964336.8399999999,979476.6799999999,991777.7999999999,947067.96,12530.0,-1.55,0,0,48,3
2017-01-15,1182.8,970723.96,964336.8399999999,973444.3999999999,952272.28,5390.0,0.67,34,0,46,2
2017-01-16,1177.7,977608.77,966538.3900000001,986794.83,959589.96,7650.0,1.14,23,0,44,2
2017-01-17,1180.5,1067172.0,979933.05,1075199.4,977454.0,27340.0,8.9,30,0,50,3
2017-01-18,1180.9,1048403.02,1067533.6,1079106.42,1000576.5700000001,21300.0,-1.8,29,0,48,3
2017-01-19,1165.6,1049389.68,1034586.5599999999,1058597.92,1031089.7599999999,15080.0,1.41,0,0,44,3
2017-01-20,1177.1,1054681.5999999999,1059743.13,1064686.95,1039732.4299999998,9490.0,-0.48,63,0,42,2
2017-01-21,1177.1,1087640.4,1054328.47,1095880.0999999999,1052209.69,12170.0,3.13,38,0,40,2
2017-01-22,1177.1,1087287.27,1087640.4,1106120.8699999999,1049973.2,21840.0,-0.03,26,0,40,2
2017-01-23,1172.5,1066975.0,1083038.25,1089018.0,1066975.0,9630.0,-1.48,32,0,42,2
2017-01-24,1166.7,1033812.8700000001,1059830.28,1081530.9000000001,1031596.1400000001,20730.0,-2.63,40,0,46,3
2017-01-25,1163.6,1039443.8799999999,1031065.96,1046774.5599999999,1028855.12,10480.0,0.82,36,0,41,2
2017-01-26,1166.2,1067189.62,1041766.46,1070105.12,1041766.46,9820.0,2.44,24,0,40,2
2017-01-27,1166.2,1069055.54,1067189.62,1075469.6400000001,1055411.0,10140.0,0.17,0,0,40,2
2017-01-28,1166.2,1072204.28,1069055.54,1077568.8,1067073.0,3610.0,0.3,0,0,37,2
2017-01-29,1166.2,1064274.12,1072204.28,1076402.6,1062058.34,2700.0,-0.75,32,0,37,2
2017-01-30,1166.2,1069871.8800000001,1064157.5,1073836.96,1061242.0,3450.0,0.53,36,0,38,2
