timestamp,Exchange Rate,close,open,high,low,volume,change
2012-02-02,1126.4,6871.04,6871.04,6871.04,6871.04,,0.0
2012-02-03,1118.5,6711.0,6711.0,6711.0,6711.0,,-2.3
2012-02-04,1118.5,6599.150000000001,6599.150000000001,6599.150000000001,6599.150000000001,,-1.51
2012-02-05,1118.5,6375.45,6375.45,6375.45,6375.45,,-3.07
2012-02-06,1118.9,6042.060000000001,6042.060000000001,6042.060000000001,6042.060000000001,,-4.22
2012-02-07,1119.9,6383.43,6383.43,6383.43,6383.43,,4.4
2012-02-08,1121.5,6280.4,6280.4,6280.4,6280.4,,-1.58
2012-02-09,1116.7,6476.86,6476.86,6476.86,6476.86,,4.11
2012-02-10,1118.1,6596.79,6596.79,6596.79,6596.79,,1.37
2012-02-11,1118.1,6261.359999999999,6261.359999999999,6261.359999999999,6261.359999999999,,-5.25
2012-02-12,1118.1,6149.549999999999,6149.549999999999,6149.549999999999,6149.549999999999,,-1.61
2012-02-13,1121.2,5942.36,5942.36,5942.36,5942.36,,-4.54
2012-02-14,1123.2,5054.400000000001,5054.400000000001,5054.400000000001,5054.400000000001,,-15.21
2012-02-15,1123.6,4831.48,4831.48,4831.48,4831.48,,-2.91
2012-02-16,1123.1,4829.329999999999,4829.329999999999,4829.329999999999,4829.329999999999,,-1.39
2012-02-17,1127.8,4962.320000000001,4962.320000000001,4962.320000000001,4962.320000000001,,3.28
2012-02-18,1127.8,4736.76,4736.76,4736.76,4736.76,,-4.31
2012-02-19,1127.8,4962.320000000001,4962.320000000001,4962.320000000001,4962.320000000001,,4.03
2012-02-20,1124.4,4947.360000000001,4947.360000000001,4947.360000000001,4947.360000000001,,0.0
2012-02-21,1122.7,4827.61,4827.61,4827.61,4827.61,,-2.06
2012-02-22,1124.3,4946.92,4946.92,4946.92,4946.92,,3.51
2012-02-23,1126.3,5631.5,5631.5,5631.5,5631.5,,13.35
2012-02-24,1128.3,5641.5,5641.5,5641.5,5641.5,,0.0
2012-02-25,1128.3,5415.839999999999,5415.839999999999,5415.839999999999,5415.839999999999,,-5.17
2012-02-26,1128.3,5528.67,5528.67,5528.67,5528.67,,3.14
2012-02-27,1124.7,5623.5,5623.5,5623.5,5623.5,,0.0
2012-02-28,1128.4,5529.160000000001,5529.160000000001,5529.160000000001,5529.160000000001,,-1.81
2012-02-29,1126.5,5519.85,5519.85,5519.85,5519.85,,0.0
2012-03-01,1126.5,5519.85,5519.85,5519.85,5519.85,,1.23
2012-03-02,1120.1,5264.469999999999,5264.469999999999,5264.469999999999,5264.469999999999,,-4.47
2012-03-03,1120.1,5152.459999999999,5152.459999999999,5152.459999999999,5152.459999999999,,-1.91
2012-03-04,1120.1,5376.48,5376.48,5376.48,5376.48,,4.56
2012-03-05,1114.5,5572.5,5572.5,5572.5,5572.5,,3.32
2012-03-06,1118.4,5592.0,5592.0,5592.0,5592.0,,0.0
2012-03-07,1120.3,5489.47,5489.47,5489.47,5489.47,,0.0
2012-03-08,1126.4,5519.360000000001,5519.360000000001,5519.360000000001,5519.360000000001,,0.0
2012-03-09,1119.8,5487.02,5487.02,5487.02,5487.02,,-1.42
2012-03-10,1119.8,5375.04,5375.04,5375.04,5375.04,,0.0
2012-03-11,1119.8,5487.02,5487.02,5487.02,5487.02,,1.66
2012-03-12,1116.1,5468.89,5468.89,5468.89,5468.89,,0.0
2012-03-13,1122.1,5947.129999999999,5947.129999999999,5947.129999999999,5947.129999999999,,7.77
2012-03-14,1121.5,6056.1,6056.1,6056.1,6056.1,,2.09
2012-03-15,1123.8,5956.139999999999,5956.139999999999,5956.139999999999,5956.139999999999,,-0.93
2012-03-16,1129.1,5984.23,5984.23,5984.23,5984.23,,0.0
2012-03-17,1129.1,5871.32,5871.32,5871.32,5871.32,,-2.25
2012-03-18,1129.1,5984.23,5984.23,5984.23,5984.23,,1.15
