timestamp,date,비트코인,업비트,bitcoin,coinbase
1546300800,2019-01-01,62,38,91,4
1546387200,2019-01-02,68,47,93,5
1546473600,2019-01-03,74,51,97,6
1546560000,2019-01-04,76,58,94,5
1546646400,2019-01-05,57,44,79,5
1546732800,2019-01-06,73,42,85,5
1546819200,2019-01-07,62,45,91,5
1546905600,2019-01-08,67,46,90,5
1546992000,2019-01-09,70,38,93,5
1547078400,2019-01-10,100,54,100,6
1547164800,2019-01-11,87,42,89,5
1547251200,2019-01-12,60,32,79,4
1547337600,2019-01-13,56,39,78,5
1547424000,2019-01-14,71,44,90,5
1547510400,2019-01-15,61,43,85,5
1547596800,2019-01-16,74,41,84,4
1547683200,2019-01-17,75,42,79,5
1547769600,2019-01-18,76,46,76,5
1547856000,2019-01-19,61,34,71,4
1547942400,2019-01-20,60,29,68,4
1548028800,2019-01-21,65,45,77,4
1548115200,2019-01-22,56,42,76,4
1548201600,2019-01-23,75,36,74,5
1548288000,2019-01-24,45,35,76,4
1548374400,2019-01-25,66,59,71,4
1548460800,2019-01-26,70,35,65,4
1548547200,2019-01-27,58,42,67,4
1548633600,2019-01-28,74,42,84,5
1548720000,2019-01-29,69,30,80,4
1548806400,2019-01-30,75,38,76,4
1548892800,2019-01-31,80,50,75,4
1548979200,2019-02-01,75,42,70,4
1549065600,2019-02-02,52,28,66,4
1549152000,2019-02-03,55,26,64,4
1549238400,2019-02-04,66,47,75,4
1549324800,2019-02-05,53,53,90,5
1549411200,2019-02-06,78,40,88,5
1549497600,2019-02-07,78,56,80,5
1549584000,2019-02-08,71,66,83,5
1549670400,2019-02-09,54,42,76,5
1549756800,2019-02-10,59,36,71,4
1549843200,2019-02-11,66,47,77,4
1549929600,2019-02-12,70,48,74,4
1550016000,2019-02-13,65,31,76,5
1550102400,2019-02-14,70,44,74,5
1550188800,2019-02-15,68,39,69,5
1550275200,2019-02-16,58,34,64,4
1550361600,2019-02-17,70,47,63,4
1550448000,2019-02-18,81,62,89,5
1550534400,2019-02-19,92,72,94,6
1550620800,2019-02-20,100,58,88,5
1550707200,2019-02-21,87,58,81,5
1550793600,2019-02-22,79,56,81,5
1550880000,2019-02-23,75,41,81,5
1550966400,2019-02-24,82,42,100,5
1551052800,2019-02-25,72,43,88,8
1551139200,2019-02-26,65,46,77,9
1551225600,2019-02-27,47,36,72,6
1551312000,2019-02-28,64,47,72,6
1551398400,2019-03-01,64,45,92,9
1551484800,2019-03-02,65,30,81,7
1551571200,2019-03-03,71,32,84,6
1551657600,2019-03-04,88,54,96,6
1551744000,2019-03-05,87,52,97,6
1551830400,2019-03-06,85,50,97,6
1551916800,2019-03-07,79,47,97,6
1552003200,2019-03-08,61,53,86,7
1552089600,2019-03-09,79,70,92,6
1552176000,2019-03-10,60,54,86,5
1552262400,2019-03-11,85,77,94,6
1552348800,2019-03-12,67,80,95,6
1552435200,2019-03-13,72,71,91,6
1552521600,2019-03-14,73,65,86,6
1552608000,2019-03-15,78,61,89,6
1552694400,2019-03-16,84,36,89,6
1552780800,2019-03-17,71,50,85,5
1552867200,2019-03-18,82,63,94,7
1552953600,2019-03-19,91,78,98,6
1553040000,2019-03-20,76,46,97,6
1553126400,2019-03-21,79,66,100,6
1553212800,2019-03-22,79,64,90,5
1553299200,2019-03-23,60,59,85,6
1553385600,2019-03-24,62,44,82,5
1553472000,2019-03-25,71,58,87,6
1553558400,2019-03-26,64,54,88,6
1553644800,2019-03-27,100,53,99,8
1553731200,2019-03-28,74,64,95,7
1553817600,2019-03-29,71,61,96,8
1553904000,2019-03-30,65,56,86,6
1553990400,2019-03-31,66,59,78,6
1554076800,2019-04-01,33,19,42,3
1554163200,2019-04-02,100,58,98,6
1554249600,2019-04-03,63,55,100,7
1554336000,2019-04-04,43,38,76,5
1554422400,2019-04-05,40,34,61,4
1554508800,2019-04-06,32,27,53,3
1554595200,2019-04-07,35,26,52,4
1554681600,2019-04-08,43,31,60,4
1554768000,2019-04-09,40,28,56,4
1554854400,2019-04-10,34,29,59,4
1554940800,2019-04-11,44,34,58,5
1555027200,2019-04-12,40,25,50,3
1555113600,2019-04-13,24,17,44,3
1555200000,2019-04-14,29,16,43,3
1555286400,2019-04-15,30,24,50,3
1555372800,2019-04-16,29,19,50,3
1555459200,2019-04-17,29,22,55,3
1555545600,2019-04-18,31,23,49,4
1555632000,2019-04-19,27,23,48,3
1555718400,2019-04-20,27,22,47,3
1555804800,2019-04-21,28,16,44,3
1555891200,2019-04-22,31,22,47,3
1555977600,2019-04-23,36,21,65,4
1556064000,2019-04-24,43,23,57,4
1556150400,2019-04-25,32,21,56,3
1556236800,2019-04-26,25,21,54,4
1556323200,2019-04-27,25,15,43,3
1556409600,2019-04-28,24,14,40,3
1556496000,2019-04-29,27,17,44,3
1556582400,2019-04-30,24,17,45,4
1556668800,2019-05-01,20,17,34,3
1556755200,2019-05-02,24,16,37,3
1556841600,2019-05-03,27,18,49,3
1556928000,2019-05-04,22,11,38,3
1557014400,2019-05-05,21,12,40,2
1557100800,2019-05-06,27,14,40,3
1557187200,2019-05-07,29,15,48,3
1557273600,2019-05-08,31,13,48,3
1557360000,2019-05-09,37,18,53,3
1557446400,2019-05-10,34,17,56,4
1557532800,2019-05-11,54,29,75,5
1557619200,2019-05-12,57,27,76,4
1557705600,2019-05-13,65,34,87,5
1557792000,2019-05-14,100,59,100,7
1557878400,2019-05-15,70,39,82,7
1557964800,2019-05-16,72,51,78,6
1558051200,2019-05-17,60,47,77,5
1558137600,2019-05-18,44,26,59,4
1558224000,2019-05-19,43,29,65,4
1558310400,2019-05-20,53,35,68,4
1558396800,2019-05-21,49,38,65,5
1558483200,2019-05-22,47,31,58,4
1558569600,2019-05-23,40,27,56,4
1558656000,2019-05-24,38,25,52,4
1558742400,2019-05-25,35,19,46,3
1558828800,2019-05-26,38,30,53,4
1558915200,2019-05-27,60,33,76,5
1559001600,2019-05-28,53,38,65,5
1559088000,2019-05-29,57,43,66,4
1559174400,2019-05-30,48,41,61,5
1559260800,2019-05-31,46,30,61,4
1559347200,2019-06-01,35,20,29,2
1559433600,2019-06-02,44,29,29,2
1559520000,2019-06-03,45,38,30,2
1559606400,2019-06-04,56,27,35,2
1559692800,2019-06-05,38,33,31,2
1559779200,2019-06-06,44,26,27,2
1559865600,2019-06-07,35,32,30,2
1559952000,2019-06-08,37,24,25,2
1560038400,2019-06-09,31,26,23,2
1560124800,2019-06-10,38,23,27,2
1560211200,2019-06-11,33,24,27,2
1560297600,2019-06-12,42,25,26,3
1560384000,2019-06-13,32,27,26,2
1560470400,2019-06-14,41,20,28,2
1560556800,2019-06-15,35,23,29,2
1560643200,2019-06-16,41,28,36,2
1560729600,2019-06-17,47,27,38,3
1560816000,2019-06-18,43,29,37,2
1560902400,2019-06-19,32,25,33,2
1560988800,2019-06-20,34,27,34,2
1561075200,2019-06-21,47,28,44,3
1561161600,2019-06-22,70,34,67,4
1561248000,2019-06-23,46,25,46,3
1561334400,2019-06-24,46,30,48,3
1561420800,2019-06-25,58,42,56,3
1561507200,2019-06-26,100,55,100,6
1561593600,2019-06-27,92,45,81,5
1561680000,2019-06-28,67,36,61,4
1561766400,2019-06-29,47,30,47,4
1561852800,2019-06-30,52,27,42,3
1561939200,2019-07-01,100,50,99,6
1562025600,2019-07-02,86,53,100,6
1562112000,2019-07-03,79,50,87,5
1562198400,2019-07-04,67,40,82,5
1562284800,2019-07-05,68,35,78,4
1562371200,2019-07-06,53,28,66,4
1562457600,2019-07-07,57,34,63,4
1562544000,2019-07-08,69,30,77,5
1562630400,2019-07-09,81,34,91,5
1562716800,2019-07-10,83,36,91,6
1562803200,2019-07-11,81,38,87,5
1562889600,2019-07-12,78,34,80,5
1562976000,2019-07-13,59,22,71,4
1563062400,2019-07-14,72,28,71,4
1563148800,2019-07-15,78,47,90,5
1563235200,2019-07-16,77,37,89,5
1563321600,2019-07-17,81,33,92,5
1563408000,2019-07-18,78,37,82,5
1563494400,2019-07-19,64,33,74,4
1563580800,2019-07-20,57,29,62,4
1563667200,2019-07-21,58,26,61,3
1563753600,2019-07-22,56,28,64,4
1563840000,2019-07-23,55,35,68,4
1563926400,2019-07-24,60,24,70,4
1564012800,2019-07-25,52,28,67,3
1564099200,2019-07-26,56,20,59,3
1564185600,2019-07-27,54,27,60,3
1564272000,2019-07-28,43,20,54,3
1564358400,2019-07-29,54,22,63,3
1564444800,2019-07-30,54,22,63,4
1564531200,2019-07-31,50,23,62,4
1564617600,2019-08-01,62,23,73,4
1564704000,2019-08-02,50,23,74,4
1564790400,2019-08-03,57,25,68,4
1564876800,2019-08-04,58,18,64,4
1564963200,2019-08-05,100,29,99,6
1565049600,2019-08-06,91,31,100,6
1565136000,2019-08-07,75,25,90,5
1565222400,2019-08-08,60,29,85,5
1565308800,2019-08-09,62,28,77,4
1565395200,2019-08-10,57,22,66,5
1565481600,2019-08-11,56,17,65,4
1565568000,2019-08-12,50,21,71,4
1565654400,2019-08-13,66,21,75,4
1565740800,2019-08-14,68,23,84,5
1565827200,2019-08-15,63,34,90,5
1565913600,2019-08-16,62,17,78,4
1566000000,2019-08-17,43,9,63,4
1566086400,2019-08-18,45,16,62,4
1566172800,2019-08-19,61,28,71,4
1566259200,2019-08-20,50,16,69,4
1566345600,2019-08-21,60,24,73,4
1566432000,2019-08-22,63,24,70,4
1566518400,2019-08-23,66,34,68,4
1566604800,2019-08-24,47,20,60,3
1566691200,2019-08-25,49,18,55,3
1566777600,2019-08-26,61,25,68,4
1566864000,2019-08-27,64,25,67,4
1566950400,2019-08-28,59,15,71,4
1567036800,2019-08-29,68,24,73,4
1567123200,2019-08-30,62,22,65,4
1567209600,2019-08-31,52,14,54,3
1567296000,2019-09-01,50,13,59,4
1567382400,2019-09-02,55,21,74,5
1567468800,2019-09-03,59,15,85,5
1567555200,2019-09-04,50,18,77,5
1567641600,2019-09-05,46,19,74,4
1567728000,2019-09-06,48,25,71,5
1567814400,2019-09-07,49,12,61,4
1567900800,2019-09-08,46,10,56,4
1567987200,2019-09-09,54,18,64,4
1568073600,2019-09-10,48,14,66,5
1568160000,2019-09-11,41,14,66,4
1568246400,2019-09-12,52,20,65,4
1568332800,2019-09-13,51,10,60,4
1568419200,2019-09-14,42,17,56,4
1568505600,2019-09-15,38,18,55,4
1568592000,2019-09-16,51,14,62,4
1568678400,2019-09-17,52,21,61,5
1568764800,2019-09-18,53,28,63,6
1568851200,2019-09-19,58,25,65,5
1568937600,2019-09-20,49,26,63,5
1569024000,2019-09-21,46,16,54,4
1569110400,2019-09-22,42,15,51,4
1569196800,2019-09-23,43,17,65,5
1569283200,2019-09-24,72,23,90,6
1569369600,2019-09-25,100,33,100,6
1569456000,2019-09-26,67,25,97,5
1569542400,2019-09-27,68,25,85,5
1569628800,2019-09-28,61,10,68,4
1569715200,2019-09-29,56,10,64,4
1569801600,2019-09-30,69,16,75,5
1569888000,2019-10-01,56,20,69,4
1569974400,2019-10-02,48,10,64,4
1570060800,2019-10-03,52,12,62,4
1570147200,2019-10-04,59,15,58,4
1570233600,2019-10-05,46,12,51,3
1570320000,2019-10-06,48,8,53,4
1570406400,2019-10-07,58,15,62,4
1570492800,2019-10-08,50,18,61,4
1570579200,2019-10-09,47,14,61,4
1570665600,2019-10-10,60,14,58,4
1570752000,2019-10-11,52,12,55,4
1570838400,2019-10-12,49,11,48,3
1570924800,2019-10-13,52,7,50,4
1571011200,2019-10-14,46,15,54,4
1571097600,2019-10-15,38,15,56,4
1571184000,2019-10-16,52,13,57,4
1571270400,2019-10-17,58,14,58,4
1571356800,2019-10-18,65,14,54,3
1571443200,2019-10-19,40,10,49,3
1571529600,2019-10-20,48,10,50,3
1571616000,2019-10-21,48,14,54,4
1571702400,2019-10-22,44,13,53,4
1571788800,2019-10-23,59,15,74,4
1571875200,2019-10-24,72,14,66,4
1571961600,2019-10-25,65,18,71,5
1572048000,2019-10-26,100,31,100,5
1572134400,2019-10-27,53,23,72,4
1572220800,2019-10-28,61,17,73,5
1572307200,2019-10-29,61,19,71,5
1572393600,2019-10-30,46,18,63,5
1572480000,2019-10-31,46,18,64,4
1572566400,2019-11-01,74,14,72,5
1572652800,2019-11-02,50,15,67,4
1572739200,2019-11-03,60,18,64,4
1572825600,2019-11-04,53,22,75,5
1572912000,2019-11-05,65,24,73,6
1572998400,2019-11-06,72,19,75,5
1573084800,2019-11-07,64,19,71,6
1573171200,2019-11-08,55,20,75,5
1573257600,2019-11-09,57,14,63,5
1573344000,2019-11-10,52,20,61,4
1573430400,2019-11-11,59,18,71,5
1573516800,2019-11-12,65,21,71,5
1573603200,2019-11-13,67,18,69,5
1573689600,2019-11-14,65,12,60,5
1573776000,2019-11-15,57,17,63,5
1573862400,2019-11-16,51,12,62,4
1573948800,2019-11-17,49,10,61,4
1574035200,2019-11-18,69,25,69,5
1574121600,2019-11-19,69,28,75,5
1574208000,2019-11-20,62,21,68,5
1574294400,2019-11-21,74,19,83,5
1574380800,2019-11-22,71,28,100,6
1574467200,2019-11-23,89,25,77,5
1574553600,2019-11-24,74,14,75,5
1574640000,2019-11-25,100,20,99,6
1574726400,2019-11-26,80,16,87,5
1574812800,2019-11-27,87,66,83,5
1574899200,2019-11-28,73,67,75,4
1574985600,2019-11-29,71,33,68,4
1575072000,2019-11-30,70,16,65,5
1575158400,2019-12-01,89,26,81,6
1575244800,2019-12-02,76,35,87,6
1575331200,2019-12-03,89,31,88,6
1575417600,2019-12-04,71,37,90,6
1575504000,2019-12-05,84,26,85,5
1575590400,2019-12-06,85,25,80,5
1575676800,2019-12-07,65,20,76,5
1575763200,2019-12-08,79,27,73,5
1575849600,2019-12-09,90,32,78,5
1575936000,2019-12-10,88,21,81,5
1576022400,2019-12-11,71,31,82,5
1576108800,2019-12-12,80,15,83,5
1576195200,2019-12-13,86,29,80,5
1576281600,2019-12-14,83,18,78,5
1576368000,2019-12-15,78,18,72,5
1576454400,2019-12-16,82,25,85,6
1576540800,2019-12-17,100,26,99,6
1576627200,2019-12-18,93,27,100,6
1576713600,2019-12-19,83,33,98,6
1576800000,2019-12-20,81,17,88,6
1576886400,2019-12-21,74,15,77,5
1576972800,2019-12-22,83,16,78,5
1577059200,2019-12-23,85,20,90,6
1577145600,2019-12-24,73,25,79,5
