timestamp,date,비트코인,업비트,bitcoin,coinbase
1640995200,2022-01-01,29,32,37,5
1641081600,2022-01-02,31,42,35,6
1641168000,2022-01-03,35,44,38,7
1641254400,2022-01-04,37,46,76,13
1641340800,2022-01-05,38,39,34,6
1641427200,2022-01-06,48,42,49,6
1641513600,2022-01-07,53,43,64,7
1641600000,2022-01-08,41,36,54,6
1641686400,2022-01-09,40,35,48,6
1641772800,2022-01-10,46,41,53,6
1641859200,2022-01-11,40,44,49,7
1641945600,2022-01-12,34,42,44,7
1642032000,2022-01-13,40,47,88,13
1642118400,2022-01-14,35,41,33,5
1642204800,2022-01-15,28,31,35,5
1642291200,2022-01-16,30,32,63,10
1642377600,2022-01-17,28,32,32,5
1642464000,2022-01-18,35,36,35,5
1642550400,2022-01-19,32,38,34,5
1642636800,2022-01-20,35,39,36,6
1642723200,2022-01-21,58,41,71,7
1642809600,2022-01-22,100,53,95,7
1642896000,2022-01-23,64,44,67,6
1642982400,2022-01-24,84,46,100,9
1643068800,2022-01-25,67,42,58,6
1643155200,2022-01-26,54,45,57,6
1643241600,2022-01-27,47,42,50,6
1643328000,2022-01-28,45,37,51,6
1643414400,2022-01-29,40,34,45,6
1643500800,2022-01-30,36,30,43,5
1643587200,2022-01-31,43,28,47,6
1643673600,2022-02-01,69,50,61,8
1643760000,2022-02-02,64,58,58,8
1643846400,2022-02-03,64,62,56,7
1643932800,2022-02-04,56,59,62,8
1644019200,2022-02-05,65,74,63,7
1644105600,2022-02-06,61,69,53,7
1644192000,2022-02-07,66,75,65,9
1644278400,2022-02-08,64,78,61,9
1644364800,2022-02-09,53,62,60,8
1644451200,2022-02-10,56,63,47,7
1644537600,2022-02-11,55,60,54,6
1644624000,2022-02-12,59,58,47,5
1644710400,2022-02-13,49,53,45,5
1644796800,2022-02-14,49,48,49,14
1644883200,2022-02-15,50,49,52,9
1644969600,2022-02-16,50,53,46,8
1645056000,2022-02-17,46,48,49,7
1645142400,2022-02-18,51,50,54,7
1645228800,2022-02-19,49,47,44,6
1645315200,2022-02-20,64,50,52,6
