timestamp,date,비트코인,업비트,bitcoin,coinbase
1577836800,2020-01-01,49,10,60,4
1577923200,2020-01-02,49,12,68,5
1578009600,2020-01-03,53,17,73,5
1578096000,2020-01-04,63,14,66,4
1578182400,2020-01-05,66,10,66,4
1578268800,2020-01-06,66,23,77,5
1578355200,2020-01-07,69,24,91,6
1578441600,2020-01-08,100,29,100,6
1578528000,2020-01-09,87,18,79,5
1578614400,2020-01-10,65,24,78,5
1578700800,2020-01-11,65,17,71,5
1578787200,2020-01-12,72,12,64,4
1578873600,2020-01-13,48,13,68,5
1578960000,2020-01-14,99,29,97,9
1579046400,2020-01-15,96,32,97,7
1579132800,2020-01-16,76,27,81,6
1579219200,2020-01-17,81,30,87,7
1579305600,2020-01-18,78,29,76,6
1579392000,2020-01-19,78,28,85,6
1579478400,2020-01-20,57,26,78,5
1579564800,2020-01-21,72,28,74,5
1579651200,2020-01-22,56,23,69,5
1579737600,2020-01-23,52,21,72,5
1579824000,2020-01-24,56,18,65,5
1579910400,2020-01-25,62,13,62,4
1579996800,2020-01-26,61,13,61,4
1580083200,2020-01-27,71,22,74,5
1580169600,2020-01-28,75,27,83,6
1580256000,2020-01-29,75,27,85,6
1580342400,2020-01-30,78,24,87,7
1580428800,2020-01-31,76,30,79,6
1580515200,2020-02-01,63,29,67,5
1580601600,2020-02-02,73,18,67,6
1580688000,2020-02-03,87,23,68,5
1580774400,2020-02-04,81,29,71,5
1580860800,2020-02-05,84,42,82,7
1580947200,2020-02-06,82,33,84,6
1581033600,2020-02-07,83,38,76,6
1581120000,2020-02-08,85,29,74,6
1581206400,2020-02-09,99,28,96,8
1581292800,2020-02-10,86,32,86,6
1581379200,2020-02-11,83,22,89,7
1581465600,2020-02-12,100,50,100,10
1581552000,2020-02-13,90,77,91,9
1581638400,2020-02-14,81,49,81,8
1581724800,2020-02-15,76,51,79,7
1581811200,2020-02-16,81,39,77,7
1581897600,2020-02-17,92,45,82,7
1581984000,2020-02-18,78,46,79,7
1582070400,2020-02-19,75,45,83,8
1582156800,2020-02-20,71,40,84,7
1582243200,2020-02-21,71,42,74,7
1582329600,2020-02-22,64,25,64,5
1582416000,2020-02-23,53,29,67,5
1582502400,2020-02-24,72,36,78,6
1582588800,2020-02-25,76,31,77,6
1582675200,2020-02-26,80,25,87,6
1582761600,2020-02-27,67,32,85,5
1582848000,2020-02-28,53,31,85,6
1582934400,2020-02-29,57,24,70,5
1583020800,2020-03-01,28,14,28,2
1583107200,2020-03-02,33,15,29,2
1583193600,2020-03-03,30,11,29,2
1583280000,2020-03-04,28,12,29,2
1583366400,2020-03-05,33,13,31,2
1583452800,2020-03-06,31,14,29,2
1583539200,2020-03-07,33,12,25,2
1583625600,2020-03-08,39,13,29,2
1583712000,2020-03-09,39,14,49,2
1583798400,2020-03-10,33,14,37,2
1583884800,2020-03-11,42,15,34,2
1583971200,2020-03-12,75,27,68,4
1584057600,2020-03-13,100,39,100,5
1584144000,2020-03-14,55,23,61,3
1584230400,2020-03-15,48,18,52,3
1584316800,2020-03-16,58,24,67,3
1584403200,2020-03-17,61,22,56,3
1584489600,2020-03-18,52,19,51,3
1584576000,2020-03-19,68,30,57,3
1584662400,2020-03-20,51,22,59,3
1584748800,2020-03-21,55,17,47,3
1584835200,2020-03-22,49,18,43,3
1584921600,2020-03-23,53,15,45,3
1585008000,2020-03-24,55,17,46,3
1585094400,2020-03-25,46,15,43,2
1585180800,2020-03-26,46,14,39,2
1585267200,2020-03-27,39,16,36,2
1585353600,2020-03-28,48,14,37,2
1585440000,2020-03-29,33,11,34,2
1585526400,2020-03-30,45,18,37,2
1585612800,2020-03-31,37,16,34,2
1585699200,2020-04-01,62,25,57,3
1585785600,2020-04-02,77,30,65,4
1585872000,2020-04-03,73,20,60,4
1585958400,2020-04-04,66,16,56,4
1586044800,2020-04-05,69,17,54,4
1586131200,2020-04-06,71,26,63,5
1586217600,2020-04-07,64,29,67,5
1586304000,2020-04-08,79,28,61,4
1586390400,2020-04-09,63,17,59,4
1586476800,2020-04-10,69,30,64,4
1586563200,2020-04-11,63,18,58,4
1586649600,2020-04-12,55,15,59,4
1586736000,2020-04-13,68,29,61,4
1586822400,2020-04-14,58,19,57,4
1586908800,2020-04-15,56,14,60,4
1586995200,2020-04-16,50,19,61,4
1587081600,2020-04-17,54,18,56,4
1587168000,2020-04-18,57,24,55,4
1587254400,2020-04-19,57,18,56,4
1587340800,2020-04-20,59,17,57,4
1587427200,2020-04-21,55,15,55,4
1587513600,2020-04-22,48,14,57,4
1587600000,2020-04-23,66,16,61,5
1587686400,2020-04-24,65,21,64,5
1587772800,2020-04-25,73,20,59,4
1587859200,2020-04-26,63,20,61,5
1587945600,2020-04-27,62,22,63,5
1588032000,2020-04-28,66,21,63,5
1588118400,2020-04-29,78,28,89,8
1588204800,2020-04-30,100,35,100,7
1588291200,2020-05-01,64,26,57,4
1588377600,2020-05-02,67,18,51,4
1588464000,2020-05-03,65,16,53,4
1588550400,2020-05-04,59,16,53,4
1588636800,2020-05-05,60,17,50,4
1588723200,2020-05-06,64,21,55,4
1588809600,2020-05-07,59,18,70,5
1588896000,2020-05-08,76,15,79,5
1588982400,2020-05-09,71,17,66,4
1589068800,2020-05-10,100,23,85,6
1589155200,2020-05-11,89,17,100,5
1589241600,2020-05-12,73,12,76,4
1589328000,2020-05-13,61,15,67,4
1589414400,2020-05-14,57,21,64,4
1589500800,2020-05-15,57,16,54,4
1589587200,2020-05-16,53,10,50,3
1589673600,2020-05-17,52,19,53,4
1589760000,2020-05-18,56,16,54,4
1589846400,2020-05-19,51,21,48,3
1589932800,2020-05-20,43,18,48,3
1590019200,2020-05-21,60,21,50,4
1590105600,2020-05-22,40,18,46,3
1590192000,2020-05-23,44,13,42,3
1590278400,2020-05-24,46,21,44,3
1590364800,2020-05-25,48,19,48,3
1590451200,2020-05-26,50,22,45,3
1590537600,2020-05-27,46,19,44,3
1590624000,2020-05-28,49,18,43,3
1590710400,2020-05-29,43,14,41,3
1590796800,2020-05-30,57,20,39,3
1590883200,2020-05-31,51,18,39,3
1590969600,2020-06-01,72,31,71,6
1591056000,2020-06-02,100,40,100,7
1591142400,2020-06-03,92,40,80,5
1591228800,2020-06-04,94,35,75,6
1591315200,2020-06-05,79,41,73,5
1591401600,2020-06-06,67,27,65,5
1591488000,2020-06-07,82,31,69,5
1591574400,2020-06-08,79,28,69,5
1591660800,2020-06-09,74,34,68,5
1591747200,2020-06-10,70,23,67,5
1591833600,2020-06-11,75,34,74,6
1591920000,2020-06-12,80,27,71,5
1592006400,2020-06-13,66,18,66,4
1592092800,2020-06-14,75,20,65,5
1592179200,2020-06-15,98,39,71,5
1592265600,2020-06-16,70,21,68,5
1592352000,2020-06-17,65,32,67,5
1592438400,2020-06-18,68,28,65,5
1592524800,2020-06-19,68,38,65,4
1592611200,2020-06-20,73,20,57,4
1592697600,2020-06-21,73,30,55,5
1592784000,2020-06-22,75,37,64,5
1592870400,2020-06-23,66,38,66,5
1592956800,2020-06-24,57,30,67,5
1593043200,2020-06-25,74,29,65,5
1593129600,2020-06-26,71,31,63,4
1593216000,2020-06-27,60,20,58,4
1593302400,2020-06-28,71,26,65,4
1593388800,2020-06-29,66,25,62,5
1593475200,2020-06-30,66,24,60,5
1593561600,2020-07-01,53,24,52,4
1593648000,2020-07-02,60,28,51,4
1593734400,2020-07-03,52,18,50,4
1593820800,2020-07-04,49,15,44,4
1593907200,2020-07-05,53,24,47,4
1593993600,2020-07-06,55,25,51,4
1594080000,2020-07-07,53,31,48,5
1594166400,2020-07-08,46,32,54,5
1594252800,2020-07-09,52,27,53,6
1594339200,2020-07-10,54,23,51,5
1594425600,2020-07-11,42,26,46,4
1594512000,2020-07-12,43,17,47,4
1594598400,2020-07-13,59,25,51,5
1594684800,2020-07-14,52,37,54,5
1594771200,2020-07-15,50,27,60,5
1594857600,2020-07-16,52,27,71,5
1594944000,2020-07-17,57,23,55,5
1595030400,2020-07-18,45,23,78,4
1595116800,2020-07-19,48,16,50,4
1595203200,2020-07-20,59,24,49,4
1595289600,2020-07-21,62,24,52,4
1595376000,2020-07-22,59,21,51,5
1595462400,2020-07-23,49,30,56,5
1595548800,2020-07-24,66,24,53,5
1595635200,2020-07-25,55,32,57,5
1595721600,2020-07-26,69,34,69,6
1595808000,2020-07-27,95,47,95,8
1595894400,2020-07-28,100,43,100,7
1595980800,2020-07-29,86,50,83,7
1596067200,2020-07-30,84,56,73,7
1596153600,2020-07-31,80,44,77,7
1596240000,2020-08-01,89,34,100,9
1596326400,2020-08-02,100,59,100,9
1596412800,2020-08-03,79,43,84,7
1596499200,2020-08-04,78,41,75,7
1596585600,2020-08-05,80,45,81,7
1596672000,2020-08-06,76,48,84,7
1596758400,2020-08-07,76,41,80,7
1596844800,2020-08-08,63,36,72,7
1596931200,2020-08-09,61,40,71,7
1597017600,2020-08-10,76,50,81,7
1597104000,2020-08-11,71,42,77,7
1597190400,2020-08-12,64,34,74,7
1597276800,2020-08-13,73,38,72,8
1597363200,2020-08-14,77,46,70,8
1597449600,2020-08-15,70,35,67,7
1597536000,2020-08-16,62,35,70,8
1597622400,2020-08-17,81,41,84,8
1597708800,2020-08-18,70,42,85,8
1597795200,2020-08-19,67,35,72,7
1597881600,2020-08-20,74,39,69,7
1597968000,2020-08-21,65,44,65,7
1598054400,2020-08-22,66,33,61,6
1598140800,2020-08-23,63,33,61,6
1598227200,2020-08-24,78,38,63,6
1598313600,2020-08-25,68,33,64,6
1598400000,2020-08-26,65,37,61,6
1598486400,2020-08-27,60,37,62,6
1598572800,2020-08-28,57,34,58,5
1598659200,2020-08-29,54,31,53,5
1598745600,2020-08-30,60,31,56,6
1598832000,2020-08-31,46,28,61,6
1598918400,2020-09-01,76,61,79,8
1599004800,2020-09-02,81,52,81,8
1599091200,2020-09-03,92,49,96,8
1599177600,2020-09-04,100,55,100,8
1599264000,2020-09-05,87,46,90,7
1599350400,2020-09-06,75,49,81,7
1599436800,2020-09-07,82,48,84,6
1599523200,2020-09-08,74,42,82,6
1599609600,2020-09-09,80,46,77,6
1599696000,2020-09-10,65,50,73,7
1599782400,2020-09-11,86,40,67,6
1599868800,2020-09-12,75,47,63,6
1599955200,2020-09-13,79,42,67,5
1600041600,2020-09-14,82,37,74,6
1600128000,2020-09-15,73,52,77,6
1600214400,2020-09-16,65,37,75,8
1600300800,2020-09-17,76,44,68,8
1600387200,2020-09-18,70,40,66,8
1600473600,2020-09-19,72,46,62,6
1600560000,2020-09-20,65,38,63,5
1600646400,2020-09-21,72,30,70,6
1600732800,2020-09-22,63,35,68,6
1600819200,2020-09-23,62,35,63,6
1600905600,2020-09-24,79,41,64,6
1600992000,2020-09-25,59,30,62,6
1601078400,2020-09-26,70,29,59,5
1601164800,2020-09-27,60,29,55,5
1601251200,2020-09-28,61,44,61,6
1601337600,2020-09-29,73,49,65,6
1601424000,2020-09-30,73,33,58,6
1601510400,2020-10-01,48,28,50,5
1601596800,2020-10-02,62,28,50,5
1601683200,2020-10-03,55,26,45,4
1601769600,2020-10-04,57,22,42,4
1601856000,2020-10-05,54,27,50,5
1601942400,2020-10-06,59,28,49,4
1602028800,2020-10-07,53,24,46,4
1602115200,2020-10-08,57,34,49,4
1602201600,2020-10-09,56,48,51,5
1602288000,2020-10-10,59,42,55,5
1602374400,2020-10-11,57,26,51,4
1602460800,2020-10-12,51,36,58,5
1602547200,2020-10-13,56,33,53,4
1602633600,2020-10-14,44,34,55,4
1602720000,2020-10-15,62,29,54,5
1602806400,2020-10-16,63,30,54,5
1602892800,2020-10-17,54,23,49,4
1602979200,2020-10-18,57,22,48,4
1603065600,2020-10-19,70,35,57,4
1603152000,2020-10-20,55,32,66,5
1603238400,2020-10-21,88,39,96,6
1603324800,2020-10-22,100,40,100,6
1603411200,2020-10-23,77,31,82,5
1603497600,2020-10-24,78,28,69,5
1603584000,2020-10-25,75,36,70,5
1603670400,2020-10-26,69,29,76,5
1603756800,2020-10-27,80,40,88,6
1603843200,2020-10-28,91,33,93,6
1603929600,2020-10-29,67,32,78,5
1604016000,2020-10-30,74,37,77,5
1604102400,2020-10-31,67,26,80,6
1604188800,2020-11-01,31,13,40,3
1604275200,2020-11-02,38,16,42,3
1604361600,2020-11-03,32,15,39,3
1604448000,2020-11-04,32,14,37,2
1604534400,2020-11-05,46,17,62,4
1604620800,2020-11-06,55,25,65,4
1604707200,2020-11-07,42,16,52,3
1604793600,2020-11-08,42,17,48,3
1604880000,2020-11-09,46,16,52,3
1604966400,2020-11-10,39,19,44,3
1605052800,2020-11-11,39,20,49,4
1605139200,2020-11-12,43,19,54,4
1605225600,2020-11-13,47,15,58,4
1605312000,2020-11-14,41,10,50,3
1605398400,2020-11-15,42,14,44,3
