timestamp,date,비트코인,업비트,bitcoin,coinbase
1672531200,2023-01-01,46,33,60,4
1672617600,2023-01-02,51,43,64,5
1672704000,2023-01-03,46,45,66,5
1672790400,2023-01-04,48,45,64,6
1672876800,2023-01-05,44,45,61,6
1672963200,2023-01-06,49,41,63,6
1673049600,2023-01-07,41,40,55,5
1673136000,2023-01-08,34,32,54,4
1673222400,2023-01-09,50,52,64,7
1673308800,2023-01-10,45,44,62,8
1673395200,2023-01-11,40,41,64,8
1673481600,2023-01-12,57,53,77,7
1673568000,2023-01-13,58,49,80,8
1673654400,2023-01-14,100,85,100,7
1673740800,2023-01-15,77,72,82,5
1673827200,2023-01-16,66,63,91,6
1673913600,2023-01-17,58,64,87,7
1674000000,2023-01-18,62,64,80,7
1674086400,2023-01-19,51,55,76,6
1674172800,2023-01-20,59,53,80,7
1674259200,2023-01-21,63,61,96,6
1674345600,2023-01-22,64,54,83,5
1674432000,2023-01-23,62,53,84,8
1674518400,2023-01-24,63,72,80,7
1674604800,2023-01-25,60,66,77,7
1674691200,2023-01-26,64,66,78,8
1674777600,2023-01-27,58,68,71,7
1674864000,2023-01-28,50,54,67,6
1674950400,2023-01-29,62,60,74,5
1675036800,2023-01-30,63,64,77,6
1675123200,2023-01-31,58,63,74,6
1675209600,2023-02-01,71,68,83,7
1675296000,2023-02-02,75,88,96,10
1675382400,2023-02-03,69,81,82,9
1675468800,2023-02-04,64,84,74,8
1675555200,2023-02-05,74,86,75,7
1675641600,2023-02-06,74,81,77,7
1675728000,2023-02-07,69,76,74,8
1675814400,2023-02-08,62,79,75,8
1675900800,2023-02-09,72,78,81,8
1675987200,2023-02-10,67,72,77,7
1676073600,2023-02-11,60,70,68,6
1676160000,2023-02-12,65,68,65,6
1676246400,2023-02-13,57,72,74,7
1676332800,2023-02-14,63,71,74,7
1676419200,2023-02-15,72,79,81,8
1676505600,2023-02-16,100,96,100,9
1676592000,2023-02-17,70,83,85,7
1676678400,2023-02-18,71,75,76,6
1676764800,2023-02-19,73,77,75,6
1676851200,2023-02-20,67,91,82,7
1676937600,2023-02-21,75,84,79,9
1677024000,2023-02-22,71,86,79,8
1677110400,2023-02-23,68,71,74,9
1677196800,2023-02-24,67,80,75,7
1677283200,2023-02-25,62,61,68,6
1677369600,2023-02-26,54,64,66,5
1677456000,2023-02-27,58,73,74,7
1677542400,2023-02-28,60,66,70,7
1677628800,2023-03-01,60,73,50,5
1677715200,2023-03-02,62,77,54,5
1677801600,2023-03-03,90,74,60,6
1677888000,2023-03-04,71,58,53,4
1677974400,2023-03-05,51,53,49,4
1678060800,2023-03-06,56,58,51,5
1678147200,2023-03-07,60,69,50,5
1678233600,2023-03-08,53,58,53,5
1678320000,2023-03-09,62,63,61,5
1678406400,2023-03-10,80,63,77,6
1678492800,2023-03-11,70,62,65,6
1678579200,2023-03-12,75,57,61,5
