timestamp,date,비트코인,업비트,bitcoin,coinbase
1609459200,2021-01-01,29,18,38,3
1609545600,2021-01-02,41,19,68,4
1609632000,2021-01-03,72,29,79,5
1609718400,2021-01-04,66,35,69,5
1609804800,2021-01-05,46,28,56,4
1609891200,2021-01-06,49,29,60,6
1609977600,2021-01-07,67,41,91,10
1610064000,2021-01-08,70,41,87,6
1610150400,2021-01-09,61,38,72,5
1610236800,2021-01-10,67,37,71,5
1610323200,2021-01-11,100,42,100,5
1610409600,2021-01-12,64,32,77,4
1610496000,2021-01-13,52,27,66,3
1610582400,2021-01-14,56,29,70,4
1610668800,2021-01-15,47,27,61,3
1610755200,2021-01-16,44,27,50,3
1610841600,2021-01-17,39,25,45,3
1610928000,2021-01-18,36,24,43,3
1611014400,2021-01-19,36,23,43,3
1611100800,2021-01-20,36,24,40,3
1611187200,2021-01-21,45,26,50,3
1611273600,2021-01-22,57,29,54,3
1611360000,2021-01-23,41,21,39,3
1611446400,2021-01-24,38,22,35,3
1611532800,2021-01-25,36,25,38,3
1611619200,2021-01-26,31,18,36,2
1611705600,2021-01-27,32,20,39,2
1611792000,2021-01-28,32,22,39,4
1611878400,2021-01-29,45,25,62,11
1611964800,2021-01-30,40,26,43,6
1612051200,2021-01-31,35,29,37,5
1612137600,2021-02-01,28,30,38,5
1612224000,2021-02-02,22,23,35,4
1612310400,2021-02-03,23,22,36,4
1612396800,2021-02-04,25,22,38,5
1612483200,2021-02-05,19,20,36,5
1612569600,2021-02-06,25,20,43,5
1612656000,2021-02-07,23,21,39,5
1612742400,2021-02-08,43,24,83,6
1612828800,2021-02-09,66,32,100,7
1612915200,2021-02-10,41,29,64,6
1613001600,2021-02-11,40,29,61,6
1613088000,2021-02-12,49,30,58,6
1613174400,2021-02-13,37,32,48,6
1613260800,2021-02-14,43,31,55,5
1613347200,2021-02-15,41,27,55,5
1613433600,2021-02-16,39,27,62,4
1613520000,2021-02-17,56,47,69,5
1613606400,2021-02-18,59,64,62,5
1613692800,2021-02-19,61,60,68,6
1613779200,2021-02-20,80,72,77,6
1613865600,2021-02-21,71,60,67,6
1613952000,2021-02-22,87,68,80,5
1614038400,2021-02-23,100,58,98,5
1614124800,2021-02-24,69,56,72,4
1614211200,2021-02-25,52,48,59,5
1614297600,2021-02-26,52,50,60,5
1614384000,2021-02-27,46,44,50,4
1614470400,2021-02-28,49,35,52,4
1614556800,2021-03-01,59,51,85,6
1614643200,2021-03-02,54,49,79,6
1614729600,2021-03-03,50,55,77,5
1614816000,2021-03-04,53,52,69,5
1614902400,2021-03-05,44,43,69,4
1614988800,2021-03-06,36,41,63,5
1615075200,2021-03-07,41,39,65,5
1615161600,2021-03-08,42,41,64,5
1615248000,2021-03-09,51,51,81,6
1615334400,2021-03-10,52,56,79,6
1615420800,2021-03-11,50,59,71,5
1615507200,2021-03-12,53,68,73,5
1615593600,2021-03-13,66,80,100,7
1615680000,2021-03-14,64,66,91,7
1615766400,2021-03-15,72,77,79,6
1615852800,2021-03-16,65,74,76,8
1615939200,2021-03-17,70,85,69,9
1616025600,2021-03-18,57,83,72,11
1616112000,2021-03-19,56,81,63,7
1616198400,2021-03-20,63,85,63,6
1616284800,2021-03-21,57,74,61,6
1616371200,2021-03-22,67,87,62,5
1616457600,2021-03-23,65,84,65,5
1616544000,2021-03-24,65,86,73,6
1616630400,2021-03-25,63,73,77,5
1616716800,2021-03-26,50,69,64,4
1616803200,2021-03-27,47,60,60,5
1616889600,2021-03-28,44,64,57,5
1616976000,2021-03-29,51,76,65,5
1617062400,2021-03-30,57,87,68,5
1617148800,2021-03-31,65,100,65,5
1617235200,2021-04-01,43,62,57,4
1617321600,2021-04-02,48,75,53,6
1617408000,2021-04-03,43,68,47,5
1617494400,2021-04-04,42,58,45,4
1617580800,2021-04-05,56,75,49,6
1617667200,2021-04-06,53,82,47,6
1617753600,2021-04-07,81,91,47,7
1617840000,2021-04-08,54,72,45,6
1617926400,2021-04-09,44,73,41,6
1618012800,2021-04-10,45,66,48,7
1618099200,2021-04-11,40,64,50,7
1618185600,2021-04-12,39,66,46,10
1618272000,2021-04-13,46,70,63,21
1618358400,2021-04-14,46,76,69,73
1618444800,2021-04-15,40,67,58,33
1618531200,2021-04-16,54,97,62,25
1618617600,2021-04-17,50,88,50,16
1618704000,2021-04-18,76,100,95,14
1618790400,2021-04-19,58,88,74,14
1618876800,2021-04-20,66,91,68,12
1618963200,2021-04-21,48,78,56,10
1619049600,2021-04-22,69,80,65,10
1619136000,2021-04-23,95,94,100,9
1619222400,2021-04-24,64,68,69,7
1619308800,2021-04-25,56,64,62,6
1619395200,2021-04-26,51,69,65,7
1619481600,2021-04-27,46,67,60,7
1619568000,2021-04-28,47,65,55,7
1619654400,2021-04-29,37,53,52,7
1619740800,2021-04-30,34,59,52,7
1619827200,2021-05-01,32,54,25,4
1619913600,2021-05-02,35,55,24,3
1620000000,2021-05-03,35,63,27,5
1620086400,2021-05-04,42,76,28,6
1620172800,2021-05-05,45,90,28,7
1620259200,2021-05-06,43,80,26,7
1620345600,2021-05-07,39,91,22,6
1620432000,2021-05-08,35,73,26,6
1620518400,2021-05-09,40,78,26,7
1620604800,2021-05-10,34,75,27,7
1620691200,2021-05-11,35,83,26,7
1620777600,2021-05-12,42,77,27,6
1620864000,2021-05-13,61,78,67,7
1620950400,2021-05-14,41,74,42,7
1621036800,2021-05-15,38,57,34,5
1621123200,2021-05-16,39,53,36,5
1621209600,2021-05-17,67,73,50,5
1621296000,2021-05-18,37,58,39,5
1621382400,2021-05-19,100,92,100,8
1621468800,2021-05-20,72,74,77,5
1621555200,2021-05-21,63,76,56,4
1621641600,2021-05-22,63,67,51,3
1621728000,2021-05-23,76,65,58,3
1621814400,2021-05-24,71,69,54,4
1621900800,2021-05-25,53,62,44,4
1621987200,2021-05-26,42,54,38,4
1622073600,2021-05-27,38,51,35,3
1622160000,2021-05-28,44,48,36,3
1622246400,2021-05-29,45,39,35,2
1622332800,2021-05-30,40,40,32,2
1622419200,2021-05-31,39,38,30,2
1622505600,2021-06-01,62,74,72,8
1622592000,2021-06-02,65,81,71,12
1622678400,2021-06-03,61,75,71,12
1622764800,2021-06-04,59,70,78,8
1622851200,2021-06-05,53,53,69,5
1622937600,2021-06-06,58,58,73,5
1623024000,2021-06-07,59,65,69,5
1623110400,2021-06-08,85,74,100,6
1623196800,2021-06-09,82,69,88,5
1623283200,2021-06-10,63,63,78,5
1623369600,2021-06-11,62,83,66,5
1623456000,2021-06-12,58,70,59,4
1623542400,2021-06-13,60,54,59,4
1623628800,2021-06-14,63,69,73,5
1623715200,2021-06-15,49,61,63,7
1623801600,2021-06-16,50,57,56,8
1623888000,2021-06-17,44,54,52,7
1623974400,2021-06-18,51,56,53,5
1624060800,2021-06-19,49,45,49,4
1624147200,2021-06-20,59,55,56,4
1624233600,2021-06-21,78,65,78,5
1624320000,2021-06-22,100,75,99,6
1624406400,2021-06-23,71,67,73,5
1624492800,2021-06-24,56,51,62,5
1624579200,2021-06-25,48,53,63,5
1624665600,2021-06-26,56,46,56,4
1624752000,2021-06-27,47,44,53,4
1624838400,2021-06-28,57,63,59,5
1624924800,2021-06-29,48,60,58,6
1625011200,2021-06-30,45,60,50,6
1625097600,2021-07-01,63,82,60,5
1625184000,2021-07-02,55,71,59,5
1625270400,2021-07-03,59,68,53,4
1625356800,2021-07-04,61,58,61,5
1625443200,2021-07-05,63,70,59,5
1625529600,2021-07-06,54,66,52,5
1625616000,2021-07-07,52,66,52,5
1625702400,2021-07-08,55,68,58,5
1625788800,2021-07-09,53,60,54,5
1625875200,2021-07-10,46,51,47,4
1625961600,2021-07-11,49,48,46,4
1626048000,2021-07-12,50,54,52,5
1626134400,2021-07-13,51,55,51,5
1626220800,2021-07-14,51,53,53,5
1626307200,2021-07-15,49,56,54,5
1626393600,2021-07-16,52,56,54,5
1626480000,2021-07-17,47,48,50,4
1626566400,2021-07-18,50,46,49,4
1626652800,2021-07-19,51,49,59,4
1626739200,2021-07-20,68,57,76,5
1626825600,2021-07-21,62,56,71,5
1626912000,2021-07-22,50,51,62,5
1626998400,2021-07-23,44,47,54,4
1627084800,2021-07-24,49,52,55,4
1627171200,2021-07-25,48,54,54,4
1627257600,2021-07-26,100,90,100,6
1627344000,2021-07-27,66,66,75,5
1627430400,2021-07-28,62,58,72,5
1627516800,2021-07-29,53,60,60,4
1627603200,2021-07-30,53,62,58,5
1627689600,2021-07-31,49,59,61,5
1627776000,2021-08-01,52,61,77,6
1627862400,2021-08-02,52,61,77,6
1627948800,2021-08-03,46,59,72,7
1628035200,2021-08-04,55,62,72,6
1628121600,2021-08-05,52,57,74,8
1628208000,2021-08-06,53,58,80,7
1628294400,2021-08-07,73,73,87,7
1628380800,2021-08-08,65,68,88,7
1628467200,2021-08-09,60,70,96,9
1628553600,2021-08-10,57,69,94,10
1628640000,2021-08-11,64,83,97,13
1628726400,2021-08-12,66,94,91,10
1628812800,2021-08-13,66,77,83,9
1628899200,2021-08-14,67,81,84,8
1628985600,2021-08-15,67,74,81,8
1629072000,2021-08-16,67,82,80,9
1629158400,2021-08-17,61,77,77,9
1629244800,2021-08-18,57,79,79,9
1629331200,2021-08-19,58,76,78,8
1629417600,2021-08-20,66,73,83,11
1629504000,2021-08-21,60,67,79,8
1629590400,2021-08-22,54,63,79,8
1629676800,2021-08-23,70,84,100,12
1629763200,2021-08-24,73,100,83,12
1629849600,2021-08-25,67,77,81,9
1629936000,2021-08-26,56,72,76,8
1630022400,2021-08-27,59,73,73,9
1630108800,2021-08-28,55,64,68,9
1630195200,2021-08-29,62,71,63,7
1630281600,2021-08-30,54,70,70,8
1630368000,2021-08-31,54,76,67,9
1630454400,2021-09-01,44,69,53,7
1630540800,2021-09-02,49,69,56,8
1630627200,2021-09-03,52,71,57,8
1630713600,2021-09-04,60,80,50,6
1630800000,2021-09-05,56,87,53,7
1630886400,2021-09-06,58,88,58,7
1630972800,2021-09-07,87,100,100,10
1631059200,2021-09-08,85,89,91,10
1631145600,2021-09-09,56,73,66,11
1631232000,2021-09-10,57,68,59,8
1631318400,2021-09-11,47,59,52,6
1631404800,2021-09-12,49,59,52,6
1631491200,2021-09-13,55,69,55,6
1631577600,2021-09-14,45,63,50,6
1631664000,2021-09-15,44,63,53,6
