timestamp,date,비트코인,업비트,bitcoin,coinbase
1514764800,2018-01-01,28,45,44,5
1514851200,2018-01-02,32,57,52,8
1514937600,2018-01-03,38,72,51,11
1515024000,2018-01-04,50,100,51,13
1515110400,2018-01-05,51,84,49,11
1515196800,2018-01-06,57,71,45,8
1515283200,2018-01-07,66,71,43,7
1515369600,2018-01-08,64,78,50,7
1515456000,2018-01-09,58,68,48,7
1515542400,2018-01-10,60,76,49,7
1515628800,2018-01-11,77,94,54,6
1515715200,2018-01-12,54,70,45,5
1515801600,2018-01-13,54,60,41,5
1515888000,2018-01-14,46,51,36,4
1515974400,2018-01-15,47,52,37,4
1516060800,2018-01-16,66,62,75,5
1516147200,2018-01-17,73,63,100,7
1516233600,2018-01-18,52,54,70,5
1516320000,2018-01-19,41,45,50,4
1516406400,2018-01-20,37,38,41,3
1516492800,2018-01-21,34,38,39,3
1516579200,2018-01-22,33,36,43,3
1516665600,2018-01-23,29,39,43,3
1516752000,2018-01-24,26,49,40,3
1516838400,2018-01-25,26,44,38,3
1516924800,2018-01-26,25,38,36,3
1517011200,2018-01-27,21,28,32,2
1517097600,2018-01-28,21,29,30,3
1517184000,2018-01-29,19,34,32,2
1517270400,2018-01-30,22,33,35,2
1517356800,2018-01-31,25,31,36,2
1517443200,2018-02-01,64,76,60,3
1517529600,2018-02-02,100,100,81,4
1517616000,2018-02-03,62,65,51,3
1517702400,2018-02-04,55,60,44,3
1517788800,2018-02-05,62,63,78,3
1517875200,2018-02-06,78,75,100,4
1517961600,2018-02-07,55,63,62,3
1518048000,2018-02-08,48,63,52,2
1518134400,2018-02-09,46,66,46,2
1518220800,2018-02-10,40,65,37,2
1518307200,2018-02-11,37,48,35,2
1518393600,2018-02-12,37,57,37,2
1518480000,2018-02-13,34,49,35,2
1518566400,2018-02-14,34,54,35,3
1518652800,2018-02-15,32,50,36,3
1518739200,2018-02-16,30,41,35,3
1518825600,2018-02-17,32,42,32,3
1518912000,2018-02-18,32,41,32,3
1518998400,2018-02-19,29,47,32,3
1519084800,2018-02-20,31,56,34,3
1519171200,2018-02-21,31,44,35,2
1519257600,2018-02-22,34,42,32,2
1519344000,2018-02-23,27,43,29,2
1519430400,2018-02-24,24,34,24,2
1519516800,2018-02-25,26,29,22,2
1519603200,2018-02-26,28,40,26,2
1519689600,2018-02-27,27,38,27,2
1519776000,2018-02-28,20,35,25,2
1519862400,2018-03-01,47,76,76,5
1519948800,2018-03-02,47,100,80,6
1520035200,2018-03-03,41,70,79,5
1520121600,2018-03-04,35,56,67,6
1520208000,2018-03-05,44,83,77,9
1520294400,2018-03-06,37,69,79,8
1520380800,2018-03-07,52,72,91,8
1520467200,2018-03-08,45,62,86,6
1520553600,2018-03-09,49,70,100,6
1520640000,2018-03-10,28,48,72,5
1520726400,2018-03-11,46,43,72,4
1520812800,2018-03-12,46,57,80,5
1520899200,2018-03-13,41,45,74,5
1520985600,2018-03-14,44,61,91,6
1521072000,2018-03-15,49,65,98,5
1521158400,2018-03-16,37,49,81,4
1521244800,2018-03-17,42,35,72,4
1521331200,2018-03-18,54,45,87,4
1521417600,2018-03-19,44,64,83,5
1521504000,2018-03-20,43,62,78,4
1521590400,2018-03-21,41,61,77,5
1521676800,2018-03-22,41,66,74,4
1521763200,2018-03-23,39,64,72,4
1521849600,2018-03-24,35,64,61,3
1521936000,2018-03-25,33,41,60,3
1522022400,2018-03-26,40,59,83,4
1522108800,2018-03-27,38,49,74,5
1522195200,2018-03-28,34,51,71,4
1522281600,2018-03-29,36,48,84,5
1522368000,2018-03-30,44,55,97,4
1522454400,2018-03-31,33,38,69,4
1522540800,2018-04-01,54,47,94,4
1522627200,2018-04-02,36,57,95,5
1522713600,2018-04-03,40,66,96,5
1522800000,2018-04-04,40,56,89,5
1522886400,2018-04-05,54,84,96,7
1522972800,2018-04-06,39,56,100,6
1523059200,2018-04-07,34,44,76,4
1523145600,2018-04-08,35,38,72,4
1523232000,2018-04-09,37,53,88,5
1523318400,2018-04-10,42,53,83,4
1523404800,2018-04-11,32,55,79,4
1523491200,2018-04-12,47,83,95,5
1523577600,2018-04-13,52,88,96,6
1523664000,2018-04-14,32,50,73,4
1523750400,2018-04-15,33,52,72,4
1523836800,2018-04-16,41,71,78,5
1523923200,2018-04-17,42,67,77,5
1524009600,2018-04-18,40,77,76,5
1524096000,2018-04-19,46,88,76,5
1524182400,2018-04-20,47,96,79,6
1524268800,2018-04-21,40,74,76,5
1524355200,2018-04-22,38,58,73,5
1524441600,2018-04-23,39,70,79,6
1524528000,2018-04-24,56,99,96,7
1524614400,2018-04-25,60,100,86,6
1524700800,2018-04-26,50,99,78,5
1524787200,2018-04-27,37,99,72,5
1524873600,2018-04-28,40,76,61,4
1524960000,2018-04-29,42,75,65,4
1525046400,2018-04-30,46,86,67,5
1525132800,2018-05-01,37,69,82,6
1525219200,2018-05-02,38,72,81,6
1525305600,2018-05-03,37,76,90,7
1525392000,2018-05-04,32,60,90,8
1525478400,2018-05-05,29,45,88,8
1525564800,2018-05-06,30,49,83,6
1525651200,2018-05-07,34,51,88,6
1525737600,2018-05-08,34,51,87,6
1525824000,2018-05-09,37,51,86,6
1525910400,2018-05-10,36,62,85,6
1525996800,2018-05-11,48,100,100,7
1526083200,2018-05-12,29,52,77,5
1526169600,2018-05-13,25,50,75,5
1526256000,2018-05-14,40,57,87,6
1526342400,2018-05-15,37,53,79,6
1526428800,2018-05-16,36,48,81,5
1526515200,2018-05-17,27,38,74,6
1526601600,2018-05-18,27,37,80,5
1526688000,2018-05-19,22,28,63,4
1526774400,2018-05-20,22,36,69,5
1526860800,2018-05-21,27,38,72,6
1526947200,2018-05-22,25,32,78,5
1527033600,2018-05-23,38,37,95,7
1527120000,2018-05-24,34,36,91,7
1527206400,2018-05-25,26,38,79,5
1527292800,2018-05-26,23,24,65,4
1527379200,2018-05-27,27,23,67,4
1527465600,2018-05-28,28,35,78,4
1527552000,2018-05-29,33,47,81,5
1527638400,2018-05-30,27,37,73,5
1527724800,2018-05-31,28,33,72,5
1527811200,2018-06-01,54,68,60,4
1527897600,2018-06-02,57,67,58,4
1527984000,2018-06-03,62,72,60,4
1528070400,2018-06-04,72,74,63,5
1528156800,2018-06-05,62,71,65,5
1528243200,2018-06-06,69,48,62,4
1528329600,2018-06-07,57,74,61,5
1528416000,2018-06-08,57,59,58,4
